ohe__International plan_No,ohe__International plan_Yes,ohe__Voice mail plan_No,ohe__Voice mail plan_Yes,ohe__Region_Midwest,ohe__Region_Northeast,ohe__Region_South,ohe__Region_West,scd__Account length,scd__Number vmail messages,scd__Total day minutes,scd__Total day calls,scd__Total eve minutes,scd__Total eve calls,scd__Total night minutes,scd__Total night calls,scd__Total intl minutes,scd__Total intl calls,scd__Customer service calls,remainder__Churn
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.837756413244302,1.9831092789138642,-0.10400167830758611,-0.6291921469652721,-0.2540486825307878,-1.9025202955878477,-1.1940731161703524,-0.2764356509995915,0.08609681597909404,-0.6337419301438872,0.29660469208843504,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06970657206845558,1.7638910461462687,-0.27362497860729057,1.1879556848662716,0.27987049499627215,-0.4205424840448112,-0.512699093805799,-0.678318233973426,1.3491134100210327,1.3816784085595244,1.7950909563835618,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.020594076480237634,-0.5744367700414166,1.7707821671101995,1.2357753646513123,-0.4676163535416116,-1.1615313898163295,-0.9583652421547074,-1.13043613981899,1.7350351470894028,0.5755102730781598,2.5443340885311247,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.43805028898009024,-0.5744367700414166,-0.8414166575052489,0.5184801678757028,-0.15129442572369334,0.16166308477566743,-0.7800987828151441,1.984153878228228,0.08609681597909404,-1.0368259978845695,0.29660469208843504,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5853877757447441,-0.5744367700414166,1.0458657468819896,0.27938176895049976,-1.4850849748667634,1.0614353274982253,1.0085080258918089,0.5273295149480777,0.3667671702106362,0.17242620533747746,-0.45263844005912823,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4626065367741992,-0.5744367700414166,2.056463514983386,-0.10317566932982525,0.24561907606057418,-0.6322535999795308,-1.2891485611514526,0.3766235463328897,0.40185096448957885,-0.6337419301438872,1.7950909563835618,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9862120830782304,-0.5744367700414166,-0.5700193770257215,0.13592272959537788,1.4303152133658996,-1.3732425057510491,0.15084828262479805,-1.3816127541776366,-0.4050763039261045,-0.23065786240320485,-1.2018815722066916,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7818377580976159,-0.5744367700414166,0.6709089777984323,1.0444966455111497,0.8097600938250148,-1.9554480745715277,-2.241883749399564,-0.979730171203802,0.0159292274212088,-0.6337419301438872,1.7950909563835618,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6590565191270711,-0.5744367700414166,-1.1717357159836208,1.3314147242213934,-0.7013319180440226,0.16166308477566743,-1.132670224620058,1.2306240351522881,0.8228564958368915,1.7847624763002068,-0.45263844005912823,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.5441996227842688,2.786909465728381,-0.2307727764263125,1.0923163252961903,1.3759159009386135,0.10873530579198755,0.4657856941246935,-0.0754943595126742,-1.24708736662073,-1.0368259978845695,1.7950909563835618,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.24160030662721843,-0.5744367700414166,-0.3825409924839428,2.0008902412119625,0.15092397665011414,-0.4205424840448112,-0.47308432506367376,-0.678318233973426,0.9982754672316052,0.9785943408188421,0.29660469208843504,0
